# TokenType	status	spellings	production	lexical example (- means internal/split token)
Fun	implemented	fun	function	fun
Extern	implemented	extern	extern	extern
Export	implemented	export	export	export
Pub	implemented	pub	declaration	pub
Type	implemented	type	alias	type
Enum	implemented	enum	enumeration	enum
Variant	implemented	variant	variant	variant
Static	implemented	static	global	static
Var	implemented	var	local	var
Let	removed	let	removed	let
Mut	removed	mut	removed	mut
Deref	implemented	deref	unary	deref
Const	implemented	const	global	const
If	implemented	if	if	if
Else	implemented	else	if	else
While	implemented	while	while	while
For	implemented	for	for	for
Import	implemented	import	import	import
Return	implemented	return	statement	return
Continue	implemented	continue	statement	continue
Input	implemented	input	io	input
Print	implemented	print	io	print
Println	implemented	println	io	println
Module	reserved	module	reserved	module
Class	reserved	class	reserved	class
Match	implemented	match	match	match
LogicalAnd	implemented	&&	logical-and	&&
AddressOf	implemented	&	bitwise-and	&
LogicalOr	implemented	||	logical-or	||
BitwiseOr	implemented	|	bitwise-or	|
NotEqual	implemented	!=	equality	!=
Xor	implemented	^	bitwise-xor	^
Xnor	reserved	~^	reserved	~^
BitwiseNot	implemented	~	unary	~
Nand	reserved	!&	reserved	!&
Nor	reserved	!|	reserved	!|
Not	implemented	!	unary	!
Condition	reserved	?	reserved	?
NullCoalesce	reserved	??	reserved	??
Conditional	reserved	?:	reserved	-
In	implemented	in	asm-operand	in
Out	implemented	out	asm-operand	out
Is	reserved	is	reserved	is
As	implemented	as	cast	as
Asm	implemented	asm	asm	asm
Rol	implemented	<<	shift	<<
Ror	implemented	>>	shift	>>
Xnand	reserved	xnand	reserved	xnand
Operator	internal	-	internal	-
TokenTypeInt	implemented	isz,i8,i16,i32,i64,i128,i256,i512,i1024	integer-type	isz
TokenTypeUint	implemented	usz,u8,u16,u32,u64,u128,u256,u512,u1024	integer-type	usz
TokenTypeFloat	implemented	f32,f64	float-type	f32
TypeInt	internal	-	internal	-
TypeUint	internal	-	internal	-
TypeFloat	internal	-	internal	-
TypeBool	internal	bool (contextual identifier)	internal	-
TypeChar	implemented	char	type	char
TypeByte	implemented	byte	type	byte
TypeString	implemented	str	type	str
TypeCustom	internal	-	internal	-
TypePointer	internal	-	internal	-
TypeArray	internal	-	internal	-
Identifier	implemented	ptr,array	identifier	sample_name
String	implemented	"text"	string	"text"
IntLiteral	implemented	0x10	integer	0x10
Float	implemented	1.25e2	float	1.25e2
Plus	implemented	+	additive	+
Increment	implemented	++	postfix	++
PlusEq	implemented	+=	assignment-operator	+=
Minus	implemented	-	additive	-
Decrement	implemented	--	postfix	--
MinusEq	implemented	-=	assignment-operator	-=
Star	implemented	*	multiplicative	*
StarEq	implemented	*=	assignment-operator	*=
Div	implemented	/	multiplicative	/
DivEq	implemented	/=	assignment-operator	/=
Remainder	implemented	%	multiplicative	%
RemainderEq	implemented	%=	assignment-operator	%=
Equal	implemented	=	assignment-operator	=
EqualTwo	implemented	==	equality	==
Comma	implemented	,	parameters	,
Dot	implemented	.	postfix	.
SemiColon	implemented	;	block	;
Colon	implemented	:	parameters	:
DoubleColon	implemented	::	qualified-name	::
Lchevr	implemented	<	relational	<
LchevrEq	implemented	<=	relational	<=
Rchevr	implemented	>	relational	>
RchevrEq	implemented	>=	relational	>=
Lparen	implemented	(	parameters	(
Rparen	implemented	)	parameters	)
Lbrace	implemented	{	block	{
Rbrace	implemented	}	block	}
Lbrack	implemented	[	postfix	[
Rbrack	implemented	]	postfix	]
Eof	internal	-	internal	-
Error	internal	-	internal	-
Whitespace	internal	-	internal	-
Break	implemented	break	statement	break
Arrow	implemented	->	function	->
Array	internal	-	internal	-
Newline	internal	-	internal	-
Proto	implemented	proto	proto	proto
Struct	implemented	struct	structure	struct
TypeVoid	internal	-	internal	-
CharLiteral	implemented	'a'	character	'a'
BoolLiteral	implemented	true,false	literal	true
Null	implemented	null	primary	null
Clobber	implemented	clobber	clobber	clobber
